exercise_slug,exercise_name,archetype,type,original_path,original_name,new_name,size_mb,target_path,cloudflare_url
breathing-activation,Breathing Activation,bro,instruction,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/LATIN-RAIDD BAR/MSU-190723-RaiddBarParis-HunkyShowerStripperFlashingHardCock-1.mp4",MSU-190723-RaiddBarParis-HunkyShowerStripperFlashingHardCock-1.mp4,breathing-activation_instruction_bro_mod1.mp4,19.98,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/instructions/breathing-activation_instruction_bro_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/instructions/breathing-activation_instruction_bro_mod1.mp4
breathing-activation,Breathing Activation,sergeant,instruction,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/LATIN-CLUB AMERIKA/MSU-180925-ClubAmerikaDisco-HotGoGoDancersFlashingHardCock.mp4",MSU-180925-ClubAmerikaDisco-HotGoGoDancersFlashingHardCock.mp4,breathing-activation_instruction_sergeant_mod1.mp4,19.97,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/instructions/breathing-activation_instruction_sergeant_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/instructions/breathing-activation_instruction_sergeant_mod1.mp4
breathing-activation,Breathing Activation,intellectual,instruction,/Volumes/Z9/материалы для ai fitnes/exercises/FILM CUTSCENES/MSU-151219-TheCanyons-FrontalNudityScenes-1.mp4,MSU-151219-TheCanyons-FrontalNudityScenes-1.mp4,breathing-activation_instruction_intellectual_mod1.mp4,19.96,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/instructions/breathing-activation_instruction_intellectual_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/instructions/breathing-activation_instruction_intellectual_mod1.mp4
neuromuscular-warm-up,Neuromuscular Warm-up,bro,instruction,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/LATIN-KM ZERO CLUB/MSU-171225-MuscledStripperShowsHardBulge.mp4",MSU-171225-MuscledStripperShowsHardBulge.mp4,neuromuscular-warm-up_instruction_bro_mod1.mp4,19.95,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/instructions/neuromuscular-warm-up_instruction_bro_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/instructions/neuromuscular-warm-up_instruction_bro_mod1.mp4
neuromuscular-warm-up,Neuromuscular Warm-up,sergeant,instruction,/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- NON LATIN STRIPPER- BULGE & HALF NAKED/MSU-130412-HotNakedGoGoDancerInACap.mp4,MSU-130412-HotNakedGoGoDancerInACap.mp4,neuromuscular-warm-up_instruction_sergeant_mod1.mp4,19.93,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/instructions/neuromuscular-warm-up_instruction_sergeant_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/instructions/neuromuscular-warm-up_instruction_sergeant_mod1.mp4
neuromuscular-warm-up,Neuromuscular Warm-up,intellectual,instruction,/Volumes/Z9/материалы для ai fitnes/exercises/BODYBUILDER MIX/MSU-101020-MuscledStudStripsJO-1.mp4,MSU-101020-MuscledStudStripsJO-1.mp4,neuromuscular-warm-up_instruction_intellectual_mod1.mp4,19.92,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/instructions/neuromuscular-warm-up_instruction_intellectual_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/instructions/neuromuscular-warm-up_instruction_intellectual_mod1.mp4
spinal-wave,Spinal Wave,bro,instruction,/Volumes/Z9/материалы для ai fitnes/exercises/STRAIGHT BAR- MAGIC MIKE & ALIKE/MSU-170205-BonJoviStyleGoGoDancing.mp4,MSU-170205-BonJoviStyleGoGoDancing.mp4,spinal-wave_instruction_bro_mod1.mp4,19.91,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/instructions/spinal-wave_instruction_bro_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/instructions/spinal-wave_instruction_bro_mod1.mp4
spinal-wave,Spinal Wave,sergeant,instruction,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/LATIN-GENETIC MAJESTIC/MSU-200124-GeneticMajesticClub-DiegoBarrosLiveOnStage-1.mp4",MSU-200124-GeneticMajesticClub-DiegoBarrosLiveOnStage-1.mp4,spinal-wave_instruction_sergeant_mod1.mp4,20.1,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/instructions/spinal-wave_instruction_sergeant_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/instructions/spinal-wave_instruction_sergeant_mod1.mp4
spinal-wave,Spinal Wave,intellectual,instruction,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/LATIN-THEATRON BOGOTA/msu-220520-clubtheatronbogota-musclestripperflashingcock.mp4",msu-220520-clubtheatronbogota-musclestripperflashingcock.mp4,spinal-wave_instruction_intellectual_mod1.mp4,19.88,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/instructions/spinal-wave_instruction_intellectual_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/instructions/spinal-wave_instruction_intellectual_mod1.mp4
glute-activation-flow,Glute Activation Flow,bro,instruction,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/0-LATIN CLUB STRIPPERS/MSU-180316-MuscledStrippersDuoWithHardCock.mp4",MSU-180316-MuscledStrippersDuoWithHardCock.mp4,glute-activation-flow_instruction_bro_mod1.mp4,20.16,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/instructions/glute-activation-flow_instruction_bro_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/instructions/glute-activation-flow_instruction_bro_mod1.mp4
