exercise_slug,exercise_name,archetype,reminder_number,type,original_path,original_name,new_name,size_mb,target_path,cloudflare_url
breathing-activation,Breathing Activation,bro,1,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/LATIN-PRIVATE PARTY & LAP DANCE/MSU-130405-MuscledStripperShowsHardCockOnStage.mp4",MSU-130405-MuscledStripperShowsHardCockOnStage.mp4,breathing-activation_reminder_bro_1.mp4,14.94,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/breathing-activation_reminder_bro_1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/breathing-activation_reminder_bro_1.mp4
breathing-activation,Breathing Activation,bro,2,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/0-LATIN CLUB STRIPPERS/MSU-170127-HotSpanishStripperShowingHardCock.mp4",MSU-170127-HotSpanishStripperShowingHardCock.mp4,breathing-activation_reminder_bro_2.mp4,14.93,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/breathing-activation_reminder_bro_2.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/breathing-activation_reminder_bro_2.mp4
breathing-activation,Breathing Activation,bro,3,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/WE MACHO PARTY/MSU-190528-WEMachoParty2019-NakedHardGoGoDancers-2.mp4",MSU-190528-WEMachoParty2019-NakedHardGoGoDancers-2.mp4,breathing-activation_reminder_bro_3.mp4,14.91,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/breathing-activation_reminder_bro_3.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/breathing-activation_reminder_bro_3.mp4
breathing-activation,Breathing Activation,sergeant,1,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/0-LATIN CLUB STRIPPERS/MSU-120224-HungStripperShowsItAll.mp4",MSU-120224-HungStripperShowsItAll.mp4,breathing-activation_reminder_sergeant_1.mp4,14.9,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/breathing-activation_reminder_sergeant_1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/breathing-activation_reminder_sergeant_1.mp4
breathing-activation,Breathing Activation,sergeant,2,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/LATIN-SPARTACUS/msu-220530-spartacusdiscotechmexico-strippersflashingcocks.mp4",msu-220530-spartacusdiscotechmexico-strippersflashingcocks.mp4,breathing-activation_reminder_sergeant_2.mp4,14.85,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/breathing-activation_reminder_sergeant_2.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/breathing-activation_reminder_sergeant_2.mp4
breathing-activation,Breathing Activation,sergeant,3,reminder,/Volumes/Z9/материалы для ai fitnes/exercises/SEX & JERK OFF SHOW/SEX CIRCUS/MSU-SexCircusLondon2015-3.mp4,MSU-SexCircusLondon2015-3.mp4,breathing-activation_reminder_sergeant_3.mp4,14.83,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/breathing-activation_reminder_sergeant_3.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/breathing-activation_reminder_sergeant_3.mp4
breathing-activation,Breathing Activation,intellectual,1,reminder,/Volumes/Z9/материалы для ai fitnes/exercises/STUDIO- SHARPSHOOTER/MSU-101025-HunkyBaseballPlayerStrip-2.mp4,MSU-101025-HunkyBaseballPlayerStrip-2.mp4,breathing-activation_reminder_intellectual_1.mp4,14.75,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/breathing-activation_reminder_intellectual_1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/breathing-activation_reminder_intellectual_1.mp4
breathing-activation,Breathing Activation,intellectual,2,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/0-LATIN CLUB STRIPPERS/MSU-191122-ElAlmacenClub-HotSailorStripperFlashingHardCock.mp4",MSU-191122-ElAlmacenClub-HotSailorStripperFlashingHardCock.mp4,breathing-activation_reminder_intellectual_2.mp4,14.65,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/breathing-activation_reminder_intellectual_2.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/breathing-activation_reminder_intellectual_2.mp4
breathing-activation,Breathing Activation,intellectual,3,reminder,/Volumes/Z9/материалы для ai fitnes/exercises/STUDIO- SHARPSHOOTER/MSU-100730-MuscledGoGoDancersSolo-10.mp4,MSU-100730-MuscledGoGoDancersSolo-10.mp4,breathing-activation_reminder_intellectual_3.mp4,14.61,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/breathing-activation_reminder_intellectual_3.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/breathing-activation_reminder_intellectual_3.mp4
neuromuscular-warm-up,Neuromuscular Warm-up,bro,1,reminder,/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- NON LATIN STRIPPER- BULGE & HALF NAKED/MSU-141121-HunkyRussianStr8StripperWithHardon.mp4,MSU-141121-HunkyRussianStr8StripperWithHardon.mp4,neuromuscular-warm-up_reminder_bro_1.mp4,14.58,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/neuromuscular-warm-up_reminder_bro_1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/neuromuscular-warm-up_reminder_bro_1.mp4
neuromuscular-warm-up,Neuromuscular Warm-up,bro,2,reminder,/Volumes/Z9/материалы для ai fitnes/exercises/STUDIO- SHARPSHOOTER/MSU-100723-MuscledGoGoDancersSolo-4.mp4,MSU-100723-MuscledGoGoDancersSolo-4.mp4,neuromuscular-warm-up_reminder_bro_2.mp4,14.53,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/neuromuscular-warm-up_reminder_bro_2.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/neuromuscular-warm-up_reminder_bro_2.mp4
neuromuscular-warm-up,Neuromuscular Warm-up,bro,3,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/0-LATIN CLUB STRIPPERS/MSU-140820-HornyShoweringStrippersWithHardon.mp4",MSU-140820-HornyShoweringStrippersWithHardon.mp4,neuromuscular-warm-up_reminder_bro_3.mp4,14.52,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/neuromuscular-warm-up_reminder_bro_3.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/neuromuscular-warm-up_reminder_bro_3.mp4
