exercise_id,exercise_slug,exercise_name,exercise_name_ru,category,category_ru,original_path,original_name,new_name,size_mb,target_path,cloudflare_url
1,marching_in_place,Marching in Place,Марширование на месте,warmup,Разминка,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/LATIN-RAIDD BAR/MSU-190723-RaiddBarParis-HunkyShowerStripperFlashingHardCock-1.mp4",MSU-190723-RaiddBarParis-HunkyShowerStripperFlashingHardCock-1.mp4,warmup_01_technique_m01.mp4,19.98,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/warmup_01_technique_m01.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/warmup_01_technique_m01.mp4
2,jumping_jacks,Jumping Jacks,Джампинг джекс,warmup,Разминка,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/LATIN-CLUB AMERIKA/MSU-180925-ClubAmerikaDisco-HotGoGoDancersFlashingHardCock.mp4",MSU-180925-ClubAmerikaDisco-HotGoGoDancersFlashingHardCock.mp4,warmup_02_technique_m01.mp4,19.97,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/warmup_02_technique_m01.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/warmup_02_technique_m01.mp4
3,high_knees,High Knees,Высокие колени,warmup,Разминка,/Volumes/Z9/материалы для ai fitnes/exercises/FILM CUTSCENES/MSU-151219-TheCanyons-FrontalNudityScenes-1.mp4,MSU-151219-TheCanyons-FrontalNudityScenes-1.mp4,warmup_03_technique_m01.mp4,19.96,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/warmup_03_technique_m01.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/warmup_03_technique_m01.mp4
4,butt_kicks,Butt Kicks,Захлесты голени,warmup,Разминка,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/LATIN-KM ZERO CLUB/MSU-171225-MuscledStripperShowsHardBulge.mp4",MSU-171225-MuscledStripperShowsHardBulge.mp4,warmup_04_technique_m01.mp4,19.95,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/warmup_04_technique_m01.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/warmup_04_technique_m01.mp4
5,spot_jumps,Spot Jumps,Прыжки на месте,warmup,Разминка,/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- NON LATIN STRIPPER- BULGE & HALF NAKED/MSU-130412-HotNakedGoGoDancerInACap.mp4,MSU-130412-HotNakedGoGoDancerInACap.mp4,warmup_05_technique_m01.mp4,19.93,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/warmup_05_technique_m01.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/warmup_05_technique_m01.mp4
6,side_steps,Side Steps,Шаги в стороны,warmup,Разминка,/Volumes/Z9/материалы для ai fitnes/exercises/BODYBUILDER MIX/MSU-101020-MuscledStudStripsJO-1.mp4,MSU-101020-MuscledStudStripsJO-1.mp4,warmup_06_technique_m01.mp4,19.92,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/warmup_06_technique_m01.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/warmup_06_technique_m01.mp4
7,arm_circles,Arm Circles,Вращения руками,warmup,Разминка,/Volumes/Z9/материалы для ai fitnes/exercises/STRAIGHT BAR- MAGIC MIKE & ALIKE/MSU-170205-BonJoviStyleGoGoDancing.mp4,MSU-170205-BonJoviStyleGoGoDancing.mp4,warmup_07_technique_m01.mp4,19.91,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/warmup_07_technique_m01.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/warmup_07_technique_m01.mp4
8,arm_swings,Arm Swings,Махи руками,warmup,Разминка,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/LATIN-GENETIC MAJESTIC/MSU-200124-GeneticMajesticClub-DiegoBarrosLiveOnStage-1.mp4",MSU-200124-GeneticMajesticClub-DiegoBarrosLiveOnStage-1.mp4,warmup_08_technique_m01.mp4,20.1,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/warmup_08_technique_m01.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/warmup_08_technique_m01.mp4
9,torso_twists,Torso Twists,Повороты корпуса,warmup,Разминка,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/LATIN-THEATRON BOGOTA/msu-220520-clubtheatronbogota-musclestripperflashingcock.mp4",msu-220520-clubtheatronbogota-musclestripperflashingcock.mp4,warmup_09_technique_m01.mp4,19.88,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/warmup_09_technique_m01.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/warmup_09_technique_m01.mp4
10,side_bends,Side Bends,Наклоны в стороны,warmup,Разминка,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/0-LATIN CLUB STRIPPERS/MSU-180316-MuscledStrippersDuoWithHardCock.mp4",MSU-180316-MuscledStrippersDuoWithHardCock.mp4,warmup_10_technique_m01.mp4,20.16,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/warmup_10_technique_m01.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/warmup_10_technique_m01.mp4
