exercise_slug,exercise_name,original_path,original_name,new_name,size_mb,target_path,cloudflare_url
breathing-activation,Breathing Activation,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20201103_153943.mp4,20201103_153943.mp4,breathing-activation_technique_mod1.mp4,20.43,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/breathing-activation_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/breathing-activation_technique_mod1.mp4
neuromuscular-warm-up,Neuromuscular Warm-up,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20200621_090912.mp4,20200621_090912.mp4,neuromuscular-warm-up_technique_mod1.mp4,20.55,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/neuromuscular-warm-up_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/neuromuscular-warm-up_technique_mod1.mp4
spinal-wave,Spinal Wave,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20200624_131314.mp4,20200624_131314.mp4,spinal-wave_technique_mod1.mp4,20.65,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/spinal-wave_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/spinal-wave_technique_mod1.mp4
glute-activation-flow,Glute Activation Flow,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20210223_184022.mp4,20210223_184022.mp4,glute-activation-flow_technique_mod1.mp4,18.97,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/glute-activation-flow_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/glute-activation-flow_technique_mod1.mp4
shoulder-mobility-flow,Shoulder Mobility Flow,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20200518_065651.mp4,20200518_065651.mp4,shoulder-mobility-flow_technique_mod1.mp4,21.06,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/shoulder-mobility-flow_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/shoulder-mobility-flow_technique_mod1.mp4
foot-activation,Foot Activation,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20200901_145204.mp4,20200901_145204.mp4,foot-activation_technique_mod1.mp4,18.94,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/foot-activation_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/foot-activation_technique_mod1.mp4
fascial-wake-up,Fascial Wake-up,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20210707_214417.mp4,20210707_214417.mp4,fascial-wake-up_technique_mod1.mp4,21.77,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/fascial-wake-up_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/fascial-wake-up_technique_mod1.mp4
coordination-primer,Coordination Primer,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20231224_185945.mp4,20231224_185945.mp4,coordination-primer_technique_mod1.mp4,21.87,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/coordination-primer_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/coordination-primer_technique_mod1.mp4
rhythmic-synchronization,Rhythmic Synchronization,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20200430_213008.mp4,20200430_213008.mp4,rhythmic-synchronization_technique_mod1.mp4,18.09,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/rhythmic-synchronization_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/rhythmic-synchronization_technique_mod1.mp4
joint-mobility-sequence,Joint Mobility Sequence,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20240407_174848.mp4,20240407_174848.mp4,joint-mobility-sequence_technique_mod1.mp4,17.92,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/joint-mobility-sequence_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/joint-mobility-sequence_technique_mod1.mp4
core-connection,Core Connection,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20231202_181258.mp4,20231202_181258.mp4,core-connection_technique_mod1.mp4,22.09,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/core-connection_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/core-connection_technique_mod1.mp4
movement-integration,Movement Integration,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20240515_183832.mp4,20240515_183832.mp4,movement-integration_technique_mod1.mp4,22.16,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/movement-integration_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/movement-integration_technique_mod1.mp4
assessment-squat,Assessment Squat,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20221008_133849.mp4,20221008_133849.mp4,assessment-squat_technique_mod1.mp4,22.37,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/assessment-squat_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/assessment-squat_technique_mod1.mp4
goblet-squat-hold,Goblet Squat Hold,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20240406_183614.mp4,20240406_183614.mp4,goblet-squat-hold_technique_mod1.mp4,17.39,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/goblet-squat-hold_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/goblet-squat-hold_technique_mod1.mp4
single-leg-squat,Single Leg Squat,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20201121_220655.mp4,20201121_220655.mp4,single-leg-squat_technique_mod1.mp4,22.9,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/single-leg-squat_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/single-leg-squat_technique_mod1.mp4
squat-to-rotation,Squat to Rotation,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20221217_072027.mp4,20221217_072027.mp4,squat-to-rotation_technique_mod1.mp4,23.05,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/squat-to-rotation_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/squat-to-rotation_technique_mod1.mp4
reactive-squat,Reactive Squat,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20201009_202046.mp4,20201009_202046.mp4,reactive-squat_technique_mod1.mp4,16.2,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/reactive-squat_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/reactive-squat_technique_mod1.mp4
transition-squat,Transition Squat,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20200609_111303.mp4,20200609_111303.mp4,transition-squat_technique_mod1.mp4,23.91,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/transition-squat_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/transition-squat_technique_mod1.mp4
breathing-squat,Breathing Squat,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20200504_203118.mp4,20200504_203118.mp4,breathing-squat_technique_mod1.mp4,24.11,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/breathing-squat_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/breathing-squat_technique_mod1.mp4
cossack-squat,Cossack Squat,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20230329_185646.mp4,20230329_185646.mp4,cossack-squat_technique_mod1.mp4,24.26,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/cossack-squat_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/cossack-squat_technique_mod1.mp4
quality-push-up,Quality Push-up,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20221207_190830.mp4,20221207_190830.mp4,quality-push-up_technique_mod1.mp4,24.46,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/quality-push-up_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/quality-push-up_technique_mod1.mp4
single-arm-push-up-progression,Single Arm Push-up Progression,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20240523_181031.mp4,20240523_181031.mp4,single-arm-push-up-progression_technique_mod1.mp4,24.57,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/single-arm-push-up-progression_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/single-arm-push-up-progression_technique_mod1.mp4
multi-planar-push-up,Multi-planar Push-up,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20230510_180554.mp4,20230510_180554.mp4,multi-planar-push-up_technique_mod1.mp4,25.21,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/multi-planar-push-up_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/multi-planar-push-up_technique_mod1.mp4
push-up-flow,Push-up Flow,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20200601_080334.mp4,20200601_080334.mp4,push-up-flow_technique_mod1.mp4,25.26,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/push-up-flow_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/push-up-flow_technique_mod1.mp4
pike-push-up,Pike Push-up,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20200501_061943.mp4,20200501_061943.mp4,pike-push-up_technique_mod1.mp4,25.3,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/pike-push-up_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/pike-push-up_technique_mod1.mp4
hindu-push-up,Hindu Push-up,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20200602_061113.mp4,20200602_061113.mp4,hindu-push-up_technique_mod1.mp4,25.56,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/hindu-push-up_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/hindu-push-up_technique_mod1.mp4
archer-push-up,Archer Push-up,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20220119_192844.mp4,20220119_192844.mp4,archer-push-up_technique_mod1.mp4,26.05,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/archer-push-up_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/archer-push-up_technique_mod1.mp4
breathing-push-up,Breathing Push-up,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20221109_201043.mp4,20221109_201043.mp4,breathing-push-up_technique_mod1.mp4,26.21,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/breathing-push-up_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/breathing-push-up_technique_mod1.mp4
australian-pull-ups,Australian Pull-ups,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20240404_181138.mp4,20240404_181138.mp4,australian-pull-ups_technique_mod1.mp4,26.61,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/australian-pull-ups_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/australian-pull-ups_technique_mod1.mp4
prone-pull,Prone Pull,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20220420_110126.mp4,20220420_110126.mp4,prone-pull_technique_mod1.mp4,26.91,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/prone-pull_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/prone-pull_technique_mod1.mp4
dynamic-superman,Dynamic Superman,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20211027_201620.mp4,20211027_201620.mp4,dynamic-superman_technique_mod1.mp4,26.93,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/dynamic-superman_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/dynamic-superman_technique_mod1.mp4
scapular-retraction,Scapular Retraction,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20200430_202543.mp4,20200430_202543.mp4,scapular-retraction_technique_mod1.mp4,27.22,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/scapular-retraction_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/scapular-retraction_technique_mod1.mp4
swimming-pattern,Swimming Pattern,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20200507_153948.mp4,20200507_153948.mp4,swimming-pattern_technique_mod1.mp4,27.64,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/swimming-pattern_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/swimming-pattern_technique_mod1.mp4
pull-up-progression,Pull-up Progression,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20221029_182345.mp4,20221029_182345.mp4,pull-up-progression_technique_mod1.mp4,27.86,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/pull-up-progression_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/pull-up-progression_technique_mod1.mp4
romanian-deadlift,Romanian Deadlift,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20240526_174029.mp4,20240526_174029.mp4,romanian-deadlift_technique_mod1.mp4,27.96,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/romanian-deadlift_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/romanian-deadlift_technique_mod1.mp4
good-morning,Good Morning,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20240427_174327.mp4,20240427_174327.mp4,good-morning_technique_mod1.mp4,28.02,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/good-morning_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/good-morning_technique_mod1.mp4
hip-bridge-flow,Hip Bridge Flow,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20220608_092356.mp4,20220608_092356.mp4,hip-bridge-flow_technique_mod1.mp4,28.7,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/hip-bridge-flow_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/hip-bridge-flow_technique_mod1.mp4
table-top-hold,Table Top Hold,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20210105_181843.mp4,20210105_181843.mp4,table-top-hold_technique_mod1.mp4,29.83,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/table-top-hold_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/table-top-hold_technique_mod1.mp4
hip-hinge-kick,Hip Hinge Kick,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20200505_190405.mp4,20200505_190405.mp4,hip-hinge-kick_technique_mod1.mp4,30.0,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/exercises/hip-hinge-kick_technique_mod1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/exercises/hip-hinge-kick_technique_mod1.mp4
