type,description,archetype,day,original_path,original_name,new_name,size_mb,target_path,cloudflare_url,week,progress_number
intro,Вступление и приветствие,bro,1.0,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20210507_193800.mp4,20210507_193800.mp4,intro_bro_day01.mp4,6.46,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/motivation/intro_bro_day01.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/motivation/intro_bro_day01.mp4,,
intro,Вступление и приветствие,sergeant,1.0,/Volumes/Z9/материалы для ai fitnes/trainer 2/dennisdillon.164.MP4,dennisdillon.164.MP4,intro_sergeant_day01.mp4,0.87,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/motivation/intro_sergeant_day01.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/motivation/intro_sergeant_day01.mp4,,
intro,Вступление и приветствие,intellectual,1.0,/Volumes/Z9/материалы для ai fitnes/trainer 3/GromBurjaVIP/Videos/GromBurjaVIP 206.mp4,GromBurjaVIP 206.mp4,intro_intellectual_day01.mp4,16.78,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/motivation/intro_intellectual_day01.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/motivation/intro_intellectual_day01.mp4,,
intro,Вступление и приветствие,bro,2.0,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20220511_193752.mp4,20220511_193752.mp4,intro_bro_day02.mp4,8.08,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/motivation/intro_bro_day02.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/motivation/intro_bro_day02.mp4,,
intro,Вступление и приветствие,sergeant,2.0,/Volumes/Z9/материалы для ai fitnes/trainer 2/dennisdillon.247.mp4,dennisdillon.247.mp4,intro_sergeant_day02.mp4,1.6,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/motivation/intro_sergeant_day02.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/motivation/intro_sergeant_day02.mp4,,
intro,Вступление и приветствие,intellectual,2.0,/Volumes/Z9/материалы для ai fitnes/trainer 3/GromBurjaVIP/Videos/GromBurjaVIP 184.mp4,GromBurjaVIP 184.mp4,intro_intellectual_day02.mp4,22.38,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/motivation/intro_intellectual_day02.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/motivation/intro_intellectual_day02.mp4,,
intro,Вступление и приветствие,bro,3.0,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20231024_175911.mp4,20231024_175911.mp4,intro_bro_day03.mp4,10.32,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/motivation/intro_bro_day03.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/motivation/intro_bro_day03.mp4,,
intro,Вступление и приветствие,sergeant,3.0,/Volumes/Z9/материалы для ai fitnes/trainer 2/dennisdillon.111.MP4,dennisdillon.111.MP4,intro_sergeant_day03.mp4,2.68,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/motivation/intro_sergeant_day03.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/motivation/intro_sergeant_day03.mp4,,
intro,Вступление и приветствие,intellectual,3.0,/Volumes/Z9/материалы для ai fitnes/trainer 3/GromBurjaVIP/Videos/0htnre9oyamokypah6v51_source.mp4,0htnre9oyamokypah6v51_source.mp4,intro_intellectual_day03.mp4,60.16,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/motivation/intro_intellectual_day03.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/motivation/intro_intellectual_day03.mp4,,
intro,Вступление и приветствие,bro,4.0,/Volumes/Z9/материалы для ai fitnes/trainer 1/Videos/20220706_154039.mp4,20220706_154039.mp4,intro_bro_day04.mp4,10.9,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/motivation/intro_bro_day04.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/motivation/intro_bro_day04.mp4,,
