type,archetype,week,original_path,original_name,new_name,size_mb,target_path,cloudflare_url
weekly,bro,1.0,/Volumes/Z9/материалы для ai fitnes/long and weekly videos/extremalchiki/0gmgx0wbcfwiy1lch8f44_source.mp4,0gmgx0wbcfwiy1lch8f44_source.mp4,weekly_bro_week1.mp4,49.49,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/weekly/weekly_bro_week1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/weekly/weekly_bro_week1.mp4
weekly,sergeant,1.0,/Volumes/Z9/материалы для ai fitnes/long and weekly videos/extremalchiki/5d8b7ecf204bdf057f7e8.mp4,5d8b7ecf204bdf057f7e8.mp4,weekly_sergeant_week1.mp4,49.37,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/weekly/weekly_sergeant_week1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/weekly/weekly_sergeant_week1.mp4
weekly,intellectual,1.0,/Volumes/Z9/материалы для ai fitnes/long and weekly videos/extremalchiki/XOkm9RDygDlkijMbP85NvaYknUpPfXyP.mp4,XOkm9RDygDlkijMbP85NvaYknUpPfXyP.mp4,weekly_intellectual_week1.mp4,49.21,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/weekly/weekly_intellectual_week1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/weekly/weekly_intellectual_week1.mp4
weekly,bro,2.0,/Volumes/Z9/материалы для ai fitnes/long and weekly videos/extremalchiki/0glohebwels9826nbjy69_source.mp4,0glohebwels9826nbjy69_source.mp4,weekly_bro_week2.mp4,51.26,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/weekly/weekly_bro_week2.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/weekly/weekly_bro_week2.mp4
weekly,sergeant,2.0,/Volumes/Z9/материалы для ai fitnes/long and weekly videos/extremalchiki/5vsWERXiUJBn3VHZCdziNfxS6qss8TNr.mp4,5vsWERXiUJBn3VHZCdziNfxS6qss8TNr.mp4,weekly_sergeant_week2.mp4,48.68,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/weekly/weekly_sergeant_week2.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/weekly/weekly_sergeant_week2.mp4
weekly,intellectual,2.0,/Volumes/Z9/материалы для ai fitnes/long and weekly videos/Дачный дрочер.mp4,Дачный дрочер.mp4,weekly_intellectual_week2.mp4,51.51,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/weekly/weekly_intellectual_week2.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/weekly/weekly_intellectual_week2.mp4
weekly,bro,3.0,/Volumes/Z9/материалы для ai fitnes/long and weekly videos/IKEA wanking.mp4,IKEA wanking.mp4,weekly_bro_week3.mp4,51.94,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/weekly/weekly_bro_week3.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/weekly/weekly_bro_week3.mp4
weekly,sergeant,3.0,/Volumes/Z9/материалы для ai fitnes/long and weekly videos/Myakinino - Molodyoznaya.mp4,Myakinino - Molodyoznaya.mp4,weekly_sergeant_week3.mp4,47.93,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/weekly/weekly_sergeant_week3.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/weekly/weekly_sergeant_week3.mp4
weekly,intellectual,3.0,/Volumes/Z9/материалы для ai fitnes/long and weekly videos/Butt plug.mp4,Butt plug.mp4,weekly_intellectual_week3.mp4,52.52,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/weekly/weekly_intellectual_week3.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/weekly/weekly_intellectual_week3.mp4
weekly,bro,4.0,/Volumes/Z9/материалы для ai fitnes/long and weekly videos/[720] Вперед в СССР.mp4,[720] Вперед в СССР.mp4,weekly_bro_week4.mp4,52.6,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/weekly/weekly_bro_week4.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/weekly/weekly_bro_week4.mp4
